unnamed__0,deal_num,tar_rev_rev_last_avail_yr,tar_rev_rev_yr__1,tar_rev_rev_yr__2,tar_ebitda_last_avail_yr,tar_ebitda_yr__1,tar_ebitda_yr__2,tar_ebit_last_avail_yr,tar_ebit_yr__1,tar_ebit_yr__2,tar_pbt_last_avail_yr,tar_pbt_yr__1,tar_pbt_yr__2,tar_pat_last_avail_yr,tar_pat_yr__1,tar_pat_yr__2,tar_np_last_avail_yr,tar_np_yr__1,tar_np_yr__2,tar_ta_last_avail_yr,tar_ta_yr__1,tar_ta_yr__2,tar_na_last_avail_yr,tar_na_yr__1,tar_na_yr__2,tar_eq_last_avail_yr,tar_eq_yr__1,tar_eq_yr__2,tar_cap_last_avail_yr,tar_cap_yr__1,tar_cap_yr__2,tar_emp_last_avail_yr,tar_emp_yr__1,tar_emp_yr__2,tar_ev_last_avail_yr,tar_ev_yr__1,tar_ev_yr__2,tar_eps_last_avail_yr,tar_eps_yr__1,tar_eps_yr__2,tar_cfps_last_avail_yr,tar_cfps_yr__1,tar_cfps_yr__2,tar_dps_last_avail_yr,tar_dps_yr__1,tar_dps_yr__2,tar_bvps_last_avail_yr,tar_bvps_yr__1,tar_bvps_yr__2,acq_rev_rev_last_avail_yr,acq_rev_rev_yr__1,acq_rev_rev_yr__2,acq_ebitda_last_avail_yr,acq_ebitda_yr__1,acq_ebitda_yr__2,acq_ebit_last_avail_yr,acq_ebit_yr__1,acq_ebit_yr__2,acq_pbt_last_avail_yr,acq_pbt_yr__1,acq_pbt_yr__2,acq_pat_last_avail_yr,acq_pat_yr__1,acq_pat_yr__2,acq_np_last_avail_yr,acq_np_yr__1,acq_np_yr__2,acq_ta_last_avail_yr,acq_ta_yr__1,acq_ta_yr__2,acq_na_last_avail_yr,acq_na_yr__1,acq_na_yr__2,acq_eq_last_avail_yr,acq_eq_yr__1,acq_eq_yr__2,acq_cap_last_avail_yr,acq_cap_yr__1,acq_cap_yr__2,acq_emp_last_avail_yr,acq_emp_yr__1,acq_emp_yr__2,acq_ev_last_avail_yr,acq_ev_yr__1,acq_ev_yr__2,acq_eps_last_avail_yr,acq_eps_yr__1,acq_eps_yr__2,acq_cfps_last_avail_yr,acq_cfps_yr__1,acq_cfps_yr__2,acq_dps_last_avail_yr,acq_dps_yr__1,acq_dps_yr__2,acq_bvps_last_avail_yr,acq_bvps_yr__1,acq_bvps_yr__2,ven_rev_rev_last_avail_yr,ven_rev_rev_yr__1,ven_rev_rev_yr__2,ven_ebitda_last_avail_yr,ven_ebitda_yr__1,ven_ebitda_yr__2,ven_ebit_last_avail_yr,ven_ebit_yr__1,ven_ebit_yr__2,ven_pbt_last_avail_yr,ven_pbt_yr__1,ven_pbt_yr__2,ven_pat_last_avail_yr,ven_pat_yr__1,ven_pat_yr__2,ven_np_last_avail_yr,ven_np_yr__1,ven_np_yr__2,ven_ta_last_avail_yr,ven_ta_yr__1,ven_ta_yr__2,ven_na_last_avail_yr,ven_na_yr__1,ven_na_yr__2,ven_eq_last_avail_yr,ven_eq_yr__1,ven_eq_yr__2,ven_cap_last_avail_yr,ven_cap_yr__1,ven_cap_yr__2,ven_emp_last_avail_yr,ven_emp_yr__1,ven_emp_yr__2,ven_ev_last_avail_yr,ven_ev_yr__1,ven_ev_yr__2,ven_eps_last_avail_yr,ven_eps_yr__1,ven_eps_yr__2,ven_cfps_last_avail_yr,ven_cfps_yr__1,ven_cfps_yr__2,ven_dps_last_avail_yr,ven_dps_yr__1,ven_dps_yr__2,ven_bvps_last_avail_yr,ven_bvps_yr__1,ven_bvps_yr__2,tar_name,tar_bvd_id_num,tar_orbis_id_num,acq_name,acq_bvd_id_num,acq_bvd_id_number__1,acq_orbis_id_num,ven_name,ven_bvd_id_num,ven_orbis_id_num
1.0,2007783894.0,67.2774119667907,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-266.246779272831,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1802.17578013169,n.a.,n.a.,n.a.,n.a.,n.a.,403.664471800744,n.a.,n.a.,n.a.,n.a.,n.a.,8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,682868.581667507,208395.489459062,181797.32564237,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-19966.4034940366,1917.14332407256,1614.77451494494,-19966.4034940366,n.a.,n.a.,n.a.,n.a.,n.a.,517842.544375385,14465.4355286812,12329.0836392239,n.a.,n.a.,n.a.,-51466.2075144185,n.a.,n.a.,n.a.,n.a.,n.a.,41,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,198676.20020429,207811.13704773,187278.338945006,n.a.,n.a.,n.a.,23174.2302641179,25653.7563732416,16962.2147399925,23699.5476433679,24623.1340991461,17956.487956488,16768.5685101415,17210.2094723263,12583.239805462,n.a.,n.a.,n.a.,169090.909090909,169491.983537072,146644.795533684,n.a.,n.a.,n.a.,136903.254049321,133932.213280914,116245.071800627,283096.613987305,421427.194368665,382863.897129702,1703,1211,1616,n.a.,n.a.,n.a.,-0.000314,0.000124,0.000123,0.000143,0.00019,0.0002,n.a.,3.8e-05,n.a.,0.003262,0.003564,0.003737,"QINGDAO HIKING AUTOMOBILE TRADING CO., LTD",CN9490589453,415008039,"SHANDONG LUJIN IMPORT & EXPORT GROUP CO., LTD",CN9361136544,CN9361136544,284241783,"SHANDONG HIKING INTERNATIONAL CO., LTD",CN30586PC,008161856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,"QINGDAO JINKUN INVESTMENT HOLDINGS CO., LTD",CN156118680205,635383869
2.0,558904.0,126230.486520652,88346.4859278189,70968.1648703626,-3642.28925155004,4158.01352234899,3638.35165880642,-4863.4086833146,3324.30279054438,2796.77186258387,-5639.86156554255,3158.9990603258,2695.88322437718,-5742.84871328222,2172.9224507471,1817.41123811336,n.a.,n.a.,n.a.,49314.416830483,37553.1470552786,32081.0307568941,n.a.,n.a.,n.a.,8293.11021164074,9711.76320636888,8017.7082059158,n.a.,n.a.,n.a.,415,276,274,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18548.2885688848,21693.0861226307,13942.6660082192,-4070.28466885597,-2962.79794956115,-1264.17537456309,-4317.15004929578,-3338.44617045516,-1504.14747231908,8728.01402929904,16107.4491395914,60529.9378492447,8718.85716897805,16097.7925405839,60521.3421235357,n.a.,n.a.,n.a.,434804.239125579,438333.693563483,352588.270178197,n.a.,n.a.,n.a.,144451.799737574,157266.333840529,150593.33865922,153061.366325319,213430.286689054,257583.957184561,58,63,43,n.a.,n.a.,n.a.,0.000947,0.0009,0.009062,0.001809,0.001743,0.009887,0.000392,0.000392,0.000394,0.009788,0.009338,0.008869,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,DRUART SA,BE0427983202,008317916,COMPAGNIE D'ENTREPRISES CFE SA,BE0400464795,BE0400464795,008326618,"DRUART FAMILY, THE",,
3.0,349998.0,3805.17503805175,4418.52244609403,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,17,17,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4642296.23612239,n.a.,n.a.,n.a.,-19915.9105996902,n.a.,4626049.28242621,3330382.8280593,n.a.,4665041.97129705,3322637.75171498,n.a.,4652044.4083401,n.a.,n.a.,n.a.,26823412.2593494,16704958.038212,16498239.9133496,n.a.,n.a.,n.a.,9850630.67050232,8379263.13909886,8565393.98862713,28915778.0963709,31202646.4591393,28424440.4440552,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.029767,0.03303,0.030925,0.076175,0.079688,0.076599,0.022007,0.022007,0.022007,0.234644,0.224355,0.215648,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,CELERIS AG,CH0004074419,008540311,SWISSCOM AG,CHCHE102753938,CHCHE102753938,002224071,INNOVENTURE CAPITAL AG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,BCAP AG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,ARMADA VENTURE PARTNERS,,
4.0,1601227268.0,12094.0009947621,20830.8605341246,20355.1609881865,1547.10976033205,7383.7784371909,3644.51673330446,1265.57332214338,7004.2037586548,3260.55210337083,2599.51977927543,7004.2037586548,3259.29320294482,2643.76121956222,5588.52621167161,2903.02438238345,n.a.,n.a.,n.a.,45866.3077300521,39302.6706231454,31344.1028068444,n.a.,n.a.,n.a.,13767.1318274262,19420.1285855589,14094.6491696293,n.a.,n.a.,n.a.,54,108,107,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,146.358936304334,-926.781214290966,n.a.,146.358936304334,-999.871215418014,n.a.,n.a.,-1008.64201555326,n.a.,n.a.,n.a.,n.a.,28728.7185761586,47321.3903296958,n.a.,n.a.,n.a.,n.a.,19298.8379870768,21807.132736266,n.a.,43136.9010100051,26337.4776918353,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,-5e-06,2.3e-05,n.a.,9e-06,3.3e-05,n.a.,n.a.,n.a.,n.a.,9.5e-05,9.8e-05,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,TUSCANY NETWORKS LTD,GB03203561,004566208,ACCUMULI PLC,GB04178393,GB04178393,005059863,,,
5.0,2007700187.0,0,1.05492313446434,0,n.a.,n.a.,n.a.,-40.2326322498407,132.824412839374,60.3002843517996,-486.376673040153,158.52617647905,13.6090550004979,-481.297801147227,130.330958157912,13.6090550004979,n.a.,n.a.,n.a.,32043.5986297004,29917.5241913055,23367.0793640256,n.a.,n.a.,n.a.,23404.3379541109,22962.4159657821,19602.2394087253,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6373.48629700446,5945.93039425355,5864.06434980803,-3784.2574888464,-3164.76940339302,-3208.63898385723,-3983.42893562779,-3260.67150652614,-3319.28170743851,5178.45761631612,-2493.45468146116,-8630.13243934013,5178.45761631612,-3452.47571279238,-9515.2742279904,n.a.,n.a.,n.a.,910313.09751434,874914.886883469,991580.088735464,n.a.,n.a.,n.a.,199470.203951561,158142.568066518,204578.395901793,1532684.10910612,1284776.34114296,1199933.67354864,60,56,47,n.a.,n.a.,n.a.,0.014847,-0.001078,0.022781,0.014944,-0.000974,0.022854,0.006579,0.0068,0.006647,0.15542,0.136512,0.140328,0,0,0.331928170743851,-70.5066921606118,-102.231641939908,-75.4583374824355,-101.677023581899,-138.194930614828,-115.51100341886,1120.63814531549,3429.45920804043,11078.5452694704,1120.63814531549,3429.45920804043,11078.5452694704,n.a.,n.a.,n.a.,111320.407106437,107771.618731599,94993.1954724997,n.a.,n.a.,n.a.,55759.341140854,52617.7438071217,67867.9147165887,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,CIBOLA HOLDING AB,SE5569981268,223282622,NP3 FASTIGHETER AB,SE5567491963,SE5567491963,073026032,POULARDE AB,SE5565799789,006293220
6.0,250499.0,7071.48263224984,6837.91585549471,7304.41132538919,4033.22179732313,3819.49306148284,4055.9409610427,1811.56389420013,1589.67326153463,996.337725849459,-1034.09815168897,167.73277837983,-303.824918954205,-1118.04891650733,1103.4495986497,-512.386452904925,n.a.,n.a.,n.a.,71008.3054493308,67192.1782244685,80990.5843042232,n.a.,n.a.,n.a.,13064.4518801785,13657.9939198067,14484.1283013023,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6545.06694149022,6409.0026597361,2559.83890080518,-16102.942475095,-13481.0055946173,-13119.1743666265,-89033.6883945574,-15801.5065576252,-14825.73363383,-86851.9994140607,27956.5116019523,-52690.0173749065,-87059.7793169651,27956.5116019523,-52690.0173749065,n.a.,n.a.,n.a.,3788450.96965686,3786173.57126203,3573001.80575302,n.a.,n.a.,n.a.,928256.716225636,1072844.94523065,1069586.02071976,615652.485180618,965379.734462865,1120885.12715146,39,51,52,n.a.,n.a.,n.a.,-0.000206,-0.000684,3.2e-05,-0.00019,-0.000669,4.6e-05,n.a.,n.a.,n.a.,0.006873,0.01183,0.013751,15246.5742511154,13957.3043836851,16193.0051670152,-6027.52549394519,5766.01804877581,n.a.,-8920.0924155513,2908.23127751192,11852.8230490922,-8833.05449330784,2450.97004977319,11026.6538321107,-7549.09576163161,2363.98684223145,10639.9575131941,n.a.,n.a.,n.a.,128965.702676864,135143.997007854,159326.075170666,n.a.,n.a.,n.a.,30024.3985022307,36225.0055143709,39544.0413361215,n.a.,n.a.,n.a.,5,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,ARMADA EXPLOATERINGS AB,SE5564861507,006238805,CITYCON OYJ,FI06995053,FI06995053,003181062,ARMADA FASTIGHETER AB,SE5563749539,006191775
7.0,1943089678.0,62098.4783758063,56863.1299614425,11179.981208373,4640.91720418737,4907.98072125199,297.879400570885,4089.21264671672,4252.57019732366,-393.943862987631,4089.21264671672,4252.57019732366,-393.943862987631,3047.56984244475,3283.09185756407,-459.874405328259,n.a.,n.a.,n.a.,33325.5260653484,45720.3136765707,25037.6679352997,n.a.,n.a.,n.a.,9475.31838849529,8674.60762077569,5513.56160799239,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-244.442783631463,n.a.,n.a.,-244.442783631463,n.a.,n.a.,-244.442783631463,n.a.,n.a.,-244.442783631463,n.a.,n.a.,n.a.,n.a.,n.a.,40.8581230090664,n.a.,n.a.,n.a.,n.a.,n.a.,-249.851752021563,n.a.,n.a.,254595.000229356,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.9e-05,n.a.,n.a.,6e-05,n.a.,n.a.,n.a.,n.a.,n.a.,0.000351,n.a.,n.a.,735619.686800895,466958.292497005,372201.676863811,69948.5458612975,38864.641184798,18038.7491502379,55589.7091722595,30598.715016879,9175.61749376841,61710.2908277405,41232.2770336491,26413.5508724224,48208.5011185682,35435.4786017641,22880.5801042375,25686.3534675615,31722.9663508657,21941.3097665987,1000717.44966443,690072.089731025,464939.723544074,351697.762863535,271798.758575629,151894.856106957,351697.762863535,271798.758575629,151894.856106957,1885006.93670649,1360923.19309921,1295633.29434013,n.a.,2623,1734,2122134.22977145,1507568.95156598,1459776.28097059,3.2e-05,4.1e-05,2.7e-05,5.1e-05,5.2e-05,3.8e-05,n.a.,n.a.,2e-06,0.000444,0.000352,0.000189,ATLANTIC BLUE SDN BHD,MY686139-X,236993144,SOLARVEST HOLDINGS BHD,MY1247778-U,MY1247778-U,450650561,CHIN HIN GROUP BHD,MY1097507-W,286328186
