unnamed__0,deal_num,pre_deal_tar_rev_rev_last_avail_yr,pre_deal_tar_ebitda_last_avail_yr,pre_deal_tar_ebit_last_avail_yr,pre_deal_tar_pbt_last_avail_yr,pre_deal_tar_pat_last_avail_yr,pre_deal_tar_np_last_avail_yr,pre_deal_tar_ta_last_avail_yr,pre_deal_tar_na_last_avail_yr,pre_deal_tar_current_liabilities_last_avail_yr,pre_deal_tar_eq_last_avail_yr,pre_deal_tar_cap,pre_deal_acq_rev_rev_last_avail_yr,pre_deal_acq_ebitda_last_avail_yr,pre_deal_acq_ebit_last_avail_yr,pre_deal_acq_pbt_last_avail_yr,pre_deal_acq_pat_last_avail_yr,pre_deal_acq_np_last_avail_yr,pre_deal_acq_ta_last_avail_yr,pre_deal_acq_na_last_avail_yr,pre_deal_acq_current_liabilities_last_avail_yr,pre_deal_acq_eq_last_avail_yr,pre_deal_acq_cap,pre_deal_ven_rev_rev_last_avail_yr,pre_deal_ven_ebitda_last_avail_yr,pre_deal_ven_ebit_last_avail_yr,pre_deal_ven_pbt_last_avail_yr,pre_deal_ven_pat_last_avail_yr,pre_deal_ven_np_last_avail_yr,pre_deal_ven_ta_last_avail_yr,pre_deal_ven_na_last_avail_yr,pre_deal_ven_current_liabilities_last_avail_yr,pre_deal_ven_eq_last_avail_yr,pre_deal_ven_cap,post_deal_tar_rev_rev_1st_avail_yr,post_deal_tar_ebitda_1st_avail_yr,post_deal_tar_ebit_1st_avail_yr,post_deal_tar_pbt_1st_avail_yr,post_deal_tar_pat_1st_avail_yr,post_deal_tar_np_1st_avail_yr,post_deal_tar_ta_1st_avail_yr,post_deal_tar_na_1st_avail_yr,post_deal_tar_current_liabilities_1st_avail_yr,post_deal_tar_shareholder_funds_1st_avail_yr,post_deal_tar_cap,post_deal_acq_rev_rev_1st_avail_yr,post_deal_acq_ebitda_1st_avail_yr,post_deal_acq_ebit_1st_avail_yr,post_deal_acq_pbt_1st_avail_yr,post_deal_acq_pat_1st_avail_yr,post_deal_acq_np_1st_avail_yr,post_deal_acq_ta_1st_avail_yr,post_deal_acq_na_1st_avail_yr,post_deal_acq_shareholder_funds_1st_avail_yr,post_deal_acq_cap,post_deal_ven_rev_rev_1st_avail_yr,post_deal_ven_ebitda_1st_avail_yr,post_deal_ven_ebit_1st_avail_yr,post_deal_ven_pbt_1st_avail_yr,post_deal_ven_pat_1st_avail_yr,post_deal_ven_np_1st_avail_yr,post_deal_ven_ta_1st_avail_yr,post_deal_ven_na_1st_avail_yr,post_deal_ven_shareholder_funds_1st_avail_yr,post_deal_ven_cap,tar_name,tar_bvd_id_num,tar_orbis_id_num,acq_name,acq_bvd_id_num,acq_orbis_id_num,ven_name,ven_bvd_id_num,ven_orbis_id_num
1.0,63699.0,18218565.4492288,2933700.2847696,1446782.48571374,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11140826.4070124,3457009.8961426,1433463.37486391,1911756.18898441,1017433.53062897,782532.326061005,231442336.370854,214830544.870865,6701759.27066243,212526202.063771,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18218565.4492288,2933700.2847696,1446782.48571374,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6077633.16323605,n.a.,23173200.0251586,7628128.1607743,-9971086.33447245,-12488569.4083866,-14690980.9810256,-10920934.2427284,263610204.355045,n.a.,221737484.209711,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,MANNESMANN AG,,,VODAFONE AIRTOUCH PLC,GB01833679,004148617,,,
2.0,53593.0,18878162.9907837,3039913.99851591,1499162.79926811,n.a.,623825.999695448,n.a.,17178979.7916132,5551061.19728997,n.a.,6297671.99692548,n.a.,5240355.36107777,1783748.34142291,1320538.35861341,1458565.57571312,1065382.96003574,796034.933847217,5809460.88304473,1473730.56718108,2439316.66559579,1298821.72481461,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18878162.9907837,3039913.99851591,1499162.79926811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11761629.3655866,3649645.69289057,1513340.60044955,2018285.44048115,1074128.22480081,826137.563720293,244339053.536101,n.a.,224368850.911857,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,MANNESMANN AG,,,VODAFONE AIRTOUCH PLC,GB01833679,004148617,,,
3.0,1909123295.0,31271000,8868000,8158000,5945000,4359000,5247000,69209000,28411000,14077000,28375000,71217900.831031,160546000,47446000,23059000,15139000,9576000,29450000,444097000,142007000,81389000,140861000,238684326.557159,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,170756000,54659000,26229000,24873000,19235000,19370000,531864000,n.a.,184089000,207714126.663208,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,TIME WARNER INC.,US822449954,372521646,AT&T INC.,US431301883,000647735,SHAREHOLDERS,,
,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,CORVEX MANAGEMENT LP,US374785673L,111822908
4.0,140036.0,12928900,2740700,2441200,2441200,1733200,1733200,11441500,5098300,3688500,5098300,n.a.,27166000,7819000,6914000,6945000,4977000,4952000,31372000,13950000,11896000,13950000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,26045000,9426000,8547000,5501000,3555000,3726000,33510000,n.a.,16076000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,WARNER-LAMBERT COMPANY,US221598912,006533168,PFIZER INC.,US135315170,000003136,,,
5.0,45748.0,27362822.398187,10850888.6514418,5068456.33468595,5085560.85747881,2897837.21639131,1629895.49452017,47936804.5240056,19689512.7697875,18456331.8523019,17463717.7715159,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,29507508.8528924,12576790.0338357,6872707.60993339,5358129.70456512,2573954.8009264,1608376.90132915,49206401.522276,21140086.6543825,18640619.291425,18210247.4276045,n.a.,3220731.59865663,4395892.29816647,4087933.89829492,4170269.99826058,3854826.49839215,3854826.49839215,125005447.14786,n.a.,63676814.9734404,99698112.9783243,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,TELECOM ITALIA SPA (OLD),IT00471850016,005351725,DEUTSCHE TELEKOM AG,DE5030147137,060521683,,,
6.0,1941013502.0,28500000,7044000,6142000,4689000,3270000,2952000,50724000,17632000,7238000,15722000,29823160.287334,59434000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,30400000,6811000,6134000,4460000,3524000,4514000,53831000,21562000,8244000,19564000,52374875.514797,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,TWENTY-FIRST CENTURY FOX INC.,US260075658,011640967,"WALT DISNEY COMPANY, THE",US149206421L,384914288,,,
7.0,104390.0,8200000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5937000,1948000,-2297000,227000,11000,609000,38261000,15353000,3223000,14473000,785951.607024,42197000,13427000,8868000,7666000,4776000,7063000,165481000,54983000,25626000,51680000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8102000,2836000,674000,-554000,-426000,-274000,113128000,12312000,38329000,54026631.317167,37827000,10686000,5798000,2836000,1249000,-13082000,55437000,12312000,12312000,n.a.,AT&T BROADBAND LLC,,,COMCAST CORPORATION,US270000798,US270000798,AT&T CORPORATION,US134924710,000044257
8.0,1941693033.0,13350000,2622000,2030000,1792000,1314000,1314000,31237000,1534000,12391000,1534000,51804186.399351,35819000,20290000,16455000,15097000,14082000,14082000,72861000,23988000,7405000,23988000,347263275.283014,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,51574000,25260000,15250000,9916000,6168000,5895000,165645000,n.a.,67678000,788953703.38828,83000000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,VMWARE INC.,US943292913,000314294,BROADCOM INC.,US352617337,409539558,SILVER LAKE TECHNOLOGY MANAGEMENT LLC,US132896870L,049962667
,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,MR MICHAEL S DELL,,
