deal_num,tar_status,tar_ent_type,tar_legal_form,tar_incorp_d,tar_bvd_indep,tar_acct_types,tar_filing_type,tar_last_acct_d,tar_acct_pub,acq_status,acq_ent_type,acq_legal_form,acq_incorp_d,acq_bvd_indep,acq_acct_types,acq_filing_type,acq_last_acct_d,acq_acct_pub,ven_status,ven_ent_type,ven_legal_form,ven_incorp_d,ven_bvd_indep,ven_acct_types,ven_filing_type,ven_last_acct_d,ven_acct_pub,tar_name,tar_bvd_id_num,tar_orbis_id_num,acq_name,acq_bvd_id_num,acq_orbis_id_num,ven_name,ven_bvd_id_num,ven_orbis_id_num,tar_incorp_d_year,tar_last_acct_d_year,acq_incorp_d_year,acq_last_acct_d_year,ven_incorp_d_year,ven_last_acct_d_year
63699.0,,Company,,,U,,,,,Active,Company,Public limited company,1984-07-17 00:00:00,A+,Consolidated,Annual report,2025-03-31,GBP,,,,,,,,,,MANNESMANN AG,,,VODAFONE AIRTOUCH PLC,GB01833679,004148617,,,,,,1984.0,2025.0,,
53593.0,,Company,,,U,,,,,Active,Company,Public limited company,1984-07-17 00:00:00,A+,Consolidated,Annual report,2025-03-31,GBP,,,,,,,,,,MANNESMANN AG,,,VODAFONE AIRTOUCH PLC,GB01833679,004148617,,,,,,1984.0,2025.0,,
1909123295.0,Active,Company,Limited liability company,2000-02-04 00:00:00,D,No recent Conso.,Annual report,2018-03-31,USD,Active,Company,Public limited company,1983-10-05 00:00:00,A+,Consolidated,Annual report,2025-03-31,USD,,Generic,,,U,,,,,TIME WARNER INC.,US822449954,372521646,AT&T INC.,US431301883,000647735,SHAREHOLDERS,,,2000.0,2018.0,1983.0,2025.0,,
,,,,,,,,,,,,,,,,,,,,Company,,,D,,,,,,,,,,,CORVEX MANAGEMENT LP,US374785673L,111822908,,,,,,
140036.0,Active,Company,,1920-11-08 00:00:00,D,No recent Conso.,Annual report,2000-03-31,USD,Active,Company,Public limited company,1942-06-02 00:00:00,A+,Consolidated,Annual report,2025-03-30,USD,,,,,,,,,,WARNER-LAMBERT COMPANY,US221598912,006533168,PFIZER INC.,US135315170,000003136,,,,1920.0,2000.0,1942.0,2025.0,,
45748.0,Dissolved (merger or take-over),Company,,,-,No recent Conso.,Annual report,2002-12-31,EUR,Active,Company,Joint stock company,1995-01-01 00:00:00,B+,Consolidated,Annual report,2025-03-31,EUR,,,,,,,,,,TELECOM ITALIA SPA (OLD),IT00471850016,005351725,DEUTSCHE TELEKOM AG,DE5030147137,060521683,,,,,2002.0,1995.0,2025.0,,
1941013502.0,Active,Company,Incorporated business,2003-10-23 00:00:00,D,No recent Conso.,Annual report,2018-12-31,USD,Active,Company,Incorporated business,1923,D,No recent limited financial data,Local registry filing,2017-01-01,USD,,,,,,,,,,TWENTY-FIRST CENTURY FOX INC.,US260075658,011640967,"WALT DISNEY COMPANY, THE",US149206421L,384914288,,,,2003.0,2018.0,1923.0,2017.0,,
104390.0,,Company,,,U,,,,,Active,Company,Public limited company,2001-12-07 00:00:00,,Consolidated,Annual report,2025-03-31,USD,Active,Company,Incorporated business,03/03/1885,D,No recent Conso.,Annual report,2005-09-30,USD,AT&T BROADBAND LLC,,,COMCAST CORPORATION,US270000798,US270000798,AT&T CORPORATION,US134924710,000044257,,,2001.0,2025.0,1885.0,2005.0
1941693033.0,Active,Company,Limited liability corporation,1998-02-10 00:00:00,D,Consolidated,Annual report,2023-08-04,USD,Active,Company,Public limited company,2018-01-17 00:00:00,A+,Consolidated,Annual report,2025-05-04,USD,Active,Company,Limited liability company,2007,D,Limited financial data,Local registry filing,2024-01-01,USD,VMWARE INC.,US943292913,000314294,BROADCOM INC.,US352617337,409539558,SILVER LAKE TECHNOLOGY MANAGEMENT LLC,US132896870L,049962667,1998.0,2023.0,2018.0,2025.0,2007.0,2024.0
,,,,,,,,,,,,,,,,,,,,Individuals/Families,,,U,,,,,,,,,,,MR MICHAEL S DELL,,,,,,,,
