unnamed_0,deal_num,pre_rev_mul_ly,pre_ebitda_mul_ly,pre_ebit_mul_ly,pre_pbt_mul_ly,pre_pat_mul_ly,pre_np_mul_ly,pre_ta_mul_ly,pre_na_mul_ly,pre_cl_mul_ly,pre_eq_mul_ly,pre_cap_mul_ly,post_rev_mul_fy,post_ebitda_mul_fy,post_ebit_mul_fy,post_pbt_mul_fy,post_pat_mul_fy,post_np_mul_fy,post_ta_mul_fy,post_na_mul_fy,post_cl_mul_fy,post_eq_mul_fy,post_cap_mul_fy
1.0,1943352667.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.0,1601137423.0,0.19,n.s.,n.s.,n.s.,n.s.,-,0.52,-,0.74,1.84,-,0.23,n.s.,n.s.,n.s.,n.s.,-,1.21,-,1.02,n.s.,-
3.0,1943247017.0,48.56,-,n.s.,n.s.,n.s.,-,7.2,-,51.62,8.37,-,8.29,-,-,43.72,43.72,-,5.69,-,-,7.15,-
4.0,1943081241.0,0.11,-,n.s.,n.s.,n.s.,-,0.17,-,0.19,0.17,-,0.06,-,-,0.44,0.44,-,0.06,-,-,0.11,-
5.0,1601415101.0,-,-,-,-,-,-,7.51,-,n.s.,32.14,-,-,-,-,-,-,-,8.06,-,210.11,16.85,-
6.0,2007544800.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.0,112336.0,1.2,-,1.2,-,n.s.,-,0.54,-,2.82,0.67,-,-,-,-,-,-,-,5.63,-,286.07,5.75,-
8.0,2007509148.0,0.86,-,-,-,-,-,-,-,-,-,-,0.7,-,-,-,-,-,-,-,-,-,-
9.0,2007181441.0,0.63,-,-,5.23,5.48,-,0.64,-,-,0.91,-,-,-,-,-,-,-,-,-,-,-,-
10.0,1943056735.0,0.29,-,-,-,-,-,-,-,-,-,-,0.24,-,-,-,-,-,-,-,-,-,-
11.0,2007203713.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12.0,1941442476.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13.0,1943156926.0,3.38,-,n.s.,n.s.,n.s.,-,0.53,-,4.09,0.98,-,-,-,-,-,-,-,-,-,-,-,-
14.0,1907039903.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15.0,1601356863.0,0.59,19.7,35.6,36.96,37.12,-,2.27,-,4.03,5.42,-,0.75,n.s.,n.s.,n.s.,n.s.,-,0.77,-,4.69,0.94,-
16.0,1943162490.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17.0,1907245215.0,0.02,-,3.08,3.07,4.1,-,9918.33,-,0.47,1.17,-,0.02,-,-,3.85,5.13,-,0.15,-,-,0.49,-
18.0,1909084836.0,0.08,1.5,3.34,4.93,22.5,-,0.06,-,0.1,0.28,-,-,-,-,-,-,-,-,-,-,-,-
