unnamed__0,deal_num,acq_name,acq_country_code,tar_name,tar_country_code,deal_type,deal_status,deal_value,last_deal_status_date,deal_headline,deal_type__1,deal_status__1,deal_value__1,tar_name__1,tar_country_code__1,tar_busi_descr,tar_bvd_id_num,tar_orbis_id_num,acq_name__1,acq_country_code__1,acq_busi_descr,acq_bvd_id_num,acq_orbis_id_num,gr_acq_name,gr_acq_country_code,gr_acq_busi_descr,gr_acq_bvd_id_num,gr_acq_orbis_id_num,ven_name,ven_country_code,ven_busi_descr,ven_bvd_id_num,ven_orbis_id_num,gr_ven_name,gr_ven_country_code,gr_ven_busi_descr,gr_ven_bvd_id_num,gr_ven_orbis_id_num,regulatory_body_name,regulatory_body_country,type_of_deal_opportunity
1.0,2007036153.0,"SHENZHEN WEIYE DECORATION GROUP CO., LTD",CN,"ZHUHAI HUALONG JINGLONG CONSTRUCTION CO., LTD",CN,Acquisition increased from 50% to 100%,Completed,19547.6935350733,44937.0,Shenzhen Weiye Decoration Group acquires remaining stake in Zhuhai Hualong Jinglong Construction from Guangdong Jinglong Culture Development,Acquisition increased from 50% to 100%,Completed,19547.6935350733,"ZHUHAI HUALONG JINGLONG CONSTRUCTION CO., LTD",CN,Interior design services,CN9393919308,281851691.0,"SHENZHEN WEIYE DECORATION GROUP CO., LTD",CN,"Architectural engineering and design services, Commercial building renovation services",CN46038PC,177497555.0,,,,,,"GUANGDONG JINGLONG CULTURE DEVELOPMENT CO., LTD",CN,"Advertising services, Cultural and art consulting services",CN9384276871,332823453.0,,,,,,,,
2.0,1907064035.0,SOUND GROUP LTD,CN,"HUNAN SOUNDON NEW ENERGY CO., LTD",CN,Acquisition increased from 100% to 100%,Completed Assumed,19546.8146210173,42603.0,Hunan Sounddon New Energy to receive capital from parents,Acquisition increased from 100% to 100%,Completed Assumed,19546.8146210173,"HUNAN SOUNDON NEW ENERGY CO., LTD",CN,"Electrombile manufacturer, Lithium ion batteries manufacturer",CN9379221843,332020907.0,SOUND GROUP LTD,CN,"Renewable energy power generation services, Solid waste treatment services, Waste water treatment services",CN9398694915,70737186.0,,,,,,,,,,,,,,,,,,
,,"SOUND ENVIRONMENTAL RESOURCES CO., LTD",CN,,,,,,,,,,,,,,,,"SOUND ENVIRONMENTAL RESOURCES CO., LTD",CN,"Garbage incineration power generation services, Solid waste treatment services",CN31447PC,284033880.0,,,,,,,,,,,,,,,,,,
3.0,2007185007.0,"GUANGDONG TIANAN NEW MATERIAL CO., LTD",CN,"GUANGDONG TIANAN POLYMER TECHNOLOGY CO., LTD",CN,Acquisition increased from 100% to 100%,Completed Assumed,19542.2782657035,45839.0,Zhejiang Jiechang Linear Motion Technology to invest in Guangdong Tianan Polymer Technology,Acquisition increased from 100% to 100%,Completed Assumed,19542.2782657035,"GUANGDONG TIANAN POLYMER TECHNOLOGY CO., LTD",CN,Calendered film manufacturer,CN9502458798,543854117.0,"GUANGDONG TIANAN NEW MATERIAL CO., LTD",CN,"Automotive interior materials manufacturer, Composite decorative plastic materials and film manufacturer",CN49223PC,251773968.0,,,,,,,,,,,,,,,,,,
4.0,2007457011.0,USAMI KOYU CORPORATION,JP,"GOOD SPEED CO., LTD",JP,Acquisition increased from 47.66% to 100%,Completed Assumed,19541.021107453,45442.0,Usami Koyu updates completion date of acquisition of Good Speed,Acquisition increased from 47.66% to 100%,Completed Assumed,19541.021107453,"GOOD SPEED CO., LTD",JP,"Car hire services, Car repair services, Used cars dealer",JP4180001057902,54874213.0,USAMI KOYU CORPORATION,JP,"Petroleum product wholesaler, Real estate leasing services",JP7180001096360,53982077.0,,,,,,SHAREHOLDERS,,Shareholder,,,,,,,,,,
5.0,1941089035.0,ITALGAS SPA,IT,BARANOGAS RETI SRL,IT,Acquisition 98%,Completed,19537.3279954701,43251.0,Italgas acquires majority stake in six natural gas distribution services operators from CPL Concordia,Acquisition 98%,Completed,19537.3279954701,BARANOGAS RETI SRL,IT,Natural gas distribution services,IT03779510365,372400951.0,ITALGAS SPA,IT,Gas distribution services provider,IT09540420966,308777414.0,,,,,,CPL CONCORDIA SOC COOP SCARLPA,IT,"Construction and property development services, Gas water and electricity distribution systems design, construction, operation, and maintenance",IT00154950364,5304095.0,,,,,,,,
,,,,ISCHIA RETI GAS SRL,IT,,,,,,,,,ISCHIA RETI GAS SRL,IT,Natural gas distribution services,IT03779480361,372400948.0,,,,,,,,,,,CPL CONCORDIA SOC COOP SCARLPA,IT,"Construction and property development services, Gas water and electricity distribution systems design, construction, operation, and maintenance",IT00154950364,5304095.0,,,,,,,,
,,,,PROGAS METANO SRL,IT,,,,,,,,,PROGAS METANO SRL,IT,Natural gas distribution services,IT03132510367,59167401.0,,,,,,,,,,,CPL CONCORDIA SOC COOP SCARLPA,IT,"Construction and property development services, Gas water and electricity distribution systems design, construction, operation, and maintenance",IT00154950364,5304095.0,,,,,,,,
,,,,GRECANICA GAS SRL,IT,,,,,,,,,GRECANICA GAS SRL,IT,Natural gas distribution services,IT03329510360,110556271.0,,,,,,,,,,,CPL CONCORDIA SOC COOP SCARLPA,IT,"Construction and property development services, Gas water and electricity distribution systems design, construction, operation, and maintenance",IT00154950364,5304095.0,,,,,,,,
,,,,FAVARAGAS RETI SRL,IT,,,,,,,,,FAVARAGAS RETI SRL,IT,Natural gas distribution services,IT03779500366,372400950.0,,,,,,,,,,,CPL CONCORDIA SOC COOP SCARLPA,IT,"Construction and property development services, Gas water and electricity distribution systems design, construction, operation, and maintenance",IT00154950364,5304095.0,,,,,,,,
