unnamed_0,deal_num,deal_type,deal_struct,deal_fin,deal_pay_method,deal_pay_method_val_usd,deal_status,rumour_d,announced_d,expected_comp_d,assumed_comp_d,completed_d,postponed_d,withdrawn_d,last_deal_status_d,last_deal_val_up_d,last_deal_status_up_d,last_pct_stake_up_d,last_acq_tar_ven_up_d,last_advisor_up_d,last_comment_up_d,last_up,rumour_d_yr,announced_d_yr,expected_comp_d_yr,assumed_comp_d_yr,completed_d_yr,postponed_d_yr,withdrawn_d_yr,last_deal_status_d_yr,last_deal_val_up_d_yr,last_deal_status_up_d_yr,last_pct_stake_up_d_yr,last_acq_tar_ven_up_d_yr,last_advisor_up_d_yr,last_comment_up_d_yr,last_up_yr
1.0,63699.0,Acquisition 100% Bid 2 - Increased offer,Public takeover,Capital increase - vendor placing,Liabilities,22294210.9588518,Completed,36477.0,36560.0,,,36707.0,,,36707.0,,,,,38919.0,42640.0,42640.0,1999.0,2000.0,,,2000.0,,,2000.0,,,,,2006.0,2016.0,2016.0
,,,Recommended bid,New bank facilities,Shares,173346329.530035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,53593.0,Acquisition 100% Bid 1 - Withdrawn,Public takeover,Capital increase - vendor placing,Shares,n.a.,Withdrawn,36477.0,36545.0,,,,,36560.0,36560.0,42640.0,40442.0,,,38919.0,42640.0,42640.0,1999.0,2000.0,,,,,2000.0,2000.0,2016.0,2010.0,,,2006.0,2016.0,2016.0
,,,Hostile bid,,Liabilities,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Unsolicited bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover - Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1909123295.0,Acquisition 100%,Public takeover,Capital increase - vendor placing,Cash,42700000,Completed,41829.0,42665.0,,,43264.0,,,43264.0,42667.0,43266.0,,42667.0,42797.0,43266.0,43266.0,2014.0,2016.0,,,2018.0,,,2018.0,2016.0,2018.0,,2016.0,2017.0,2018.0,2018.0
,,,Patent sale,New bank facilities,Shares,42700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,Leverage,Liabilities,23300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,140036.0,Acquisition 100%,Hostile bid,Capital increase - vendor placing,Shares,90000000,Completed,36468.0,36563.0,,,36696.0,,,36696.0,41698.0,,,,,41698.0,41698.0,1999.0,2000.0,,,2000.0,,,2000.0,2014.0,,,,,2014.0,2014.0
