,Argentina_StockTraded_GDP,Australia_StockTraded_GDP,Austria_StockTraded_GDP,Bahrain_StockTraded_GDP,Bangladesh_StockTraded_GDP,Barbados_StockTraded_GDP,Belarus_StockTraded_GDP,Belgium_StockTraded_GDP,Bermuda_StockTraded_GDP,Botswana_StockTraded_GDP,Brazil_StockTraded_GDP,Bulgaria_StockTraded_GDP,Canada_StockTraded_GDP,Cayman_Islands_StockTraded_GDP,Channel_Islands_StockTraded_GDP,Chile_StockTraded_GDP,China_StockTraded_GDP,Colombia_StockTraded_GDP,Costa_Rica_StockTraded_GDP,Croatia_StockTraded_GDP,Cyprus_StockTraded_GDP,Czech_Republic_StockTraded_GDP,Denmark_StockTraded_GDP,Ecuador_StockTraded_GDP,Egypt_StockTraded_GDP,Estonia_StockTraded_GDP,Finland_StockTraded_GDP,France_StockTraded_GDP,Germany_StockTraded_GDP,Ghana_StockTraded_GDP,Greece_StockTraded_GDP,Hong_Kong_StockTraded_GDP,Hungary_StockTraded_GDP,Iceland_StockTraded_GDP,India_StockTraded_GDP,Indonesia_StockTraded_GDP,Iran_StockTraded_GDP,Ireland_StockTraded_GDP,Israel_StockTraded_GDP,Italy_StockTraded_GDP,Jamaica_StockTraded_GDP,Japan_StockTraded_GDP,Jordan_StockTraded_GDP,Kazakhstan_StockTraded_GDP,Kenya_StockTraded_GDP,Korea_StockTraded_GDP,Kuwait_StockTraded_GDP,Latvia_StockTraded_GDP,Lebanon_StockTraded_GDP,Lithuania_StockTraded_GDP,Luxembourg_StockTraded_GDP,Malaysia_StockTraded_GDP,Malta_StockTraded_GDP,Mauritius_StockTraded_GDP,Mexico_StockTraded_GDP,Montenegro_StockTraded_GDP,Morocco_StockTraded_GDP,Namibia_StockTraded_GDP,Netherlands_StockTraded_GDP,New_Zealand_StockTraded_GDP,Nigeria_StockTraded_GDP,Norway_StockTraded_GDP,Oman_StockTraded_GDP,Pakistan_StockTraded_GDP,Panama_StockTraded_GDP,Papua_New_Guinea_StockTraded_GDP,Paraguay_StockTraded_GDP,Peru_StockTraded_GDP,Philippines_StockTraded_GDP,Poland_StockTraded_GDP,Portugal_StockTraded_GDP,Qatar_StockTraded_GDP,Romania_StockTraded_GDP,Russia_StockTraded_GDP,Rwanda_StockTraded_GDP,Saudi_Arabia_StockTraded_GDP,Serbia_StockTraded_GDP,Seychelles_StockTraded_GDP,Singapore_StockTraded_GDP,Slovakia_StockTraded_GDP,Slovenia_StockTraded_GDP,South_Africa_StockTraded_GDP,Spain_StockTraded_GDP,Sri_Lanka_StockTraded_GDP,Swaziland_StockTraded_GDP,Sweden_StockTraded_GDP,Switzerland_StockTraded_GDP,Tanzania_StockTraded_GDP,Thailand_StockTraded_GDP,Trinidad_and_Tobago_StockTraded_GDP,Tunisia_StockTraded_GDP,Turkey_StockTraded_GDP,Ukraine_StockTraded_GDP,United_Arab_Emirates_StockTraded_GDP,United_Kingdom_StockTraded_GDP,US_StockTraded_GDP,Uruguay_StockTraded_GDP,Venezuela_StockTraded_GDP,Vietnam_StockTraded_GDP,West_Bank_and_Gaza_StockTraded_GDP,Zambia_StockTraded_GDP,Zimbabwe_StockTraded_GDP
1975-12-31,0.858146,1.20344,0.16791,,,,,0.877019,,,,,2.986388,,,,,,,,,,0.133601,,,,,1.582201,2.131262,,,4.816836,,,,,0.295502,,,0.717288,,11.299863,,,,,,,,,,,,,,,,,4.744173,,,,,,,,,,,,,,,,,,,,,,,2.083581,1.575482,,,0.131696,48.359393,,,,,,,,14.642824,8.147705,,,,,,
1976-12-31,1.575157,1.275454,0.224343,,,,,0.929495,,,,,3.072712,,,,,,,,,,0.146056,,,,,1.089307,2.025263,,,5.016943,,,,,0.440818,,,0.557639,,15.390542,,,,,,,,,,,,,,,,,5.370926,,,,,,,,,,,,,,,,,,,,,,,1.805618,1.656779,,,0.141203,62.999693,,,,,,,,10.349739,9.251622,,,,,,
1977-12-31,0.420915,1.34388,0.144126,,,,,0.748432,,,,,3.139995,,,,,,,,,,0.098568,,,,,0.857558,2.185505,,,2.085762,,,,,0.25062,,,0.335412,,13.950792,,,,,,,,,,,,,,,,,6.183772,,,,,,,,,,,,,,,,,,,,,,,1.846524,1.656779,,,0.396468,49.225036,,,,,,,,7.359737,7.967717,,,,,,
1978-12-31,0.395286,0.745193,0.13752,,,,,0.714099,,,,,4.630998,,,,,,,,,,0.102785,,,,,1.897257,2.530198,,,2.230068,,,,,0.575683,,,0.62321,,18.736175,,,,,,,,,,,,,1.301528,,,,6.382894,,,,,,,,,,,,,,,,,,,,,,,2.11985,1.338443,,,0.40655,41.950716,,,,,,,,5.845487,9.603848,,,,,,
1979-12-31,2.124838,1.486509,0.123833,,,,,0.907884,,,1.465359,,7.412074,,,,,,,,,,0.089341,,,,,1.550748,1.675524,,,4.767518,,,,,0.575683,,2.748196,0.877049,,15.424409,,,,4.033047,,,,,,,,,3.057468,,,,2.600039,,,,,,,,,,,,,,,,,,,,11.433892,,,3.334938,0.521906,,,1.673823,60.448241,,,,,,,,5.825045,10.347029,,,,,,
1980-12-31,1.448768,3.299203,0.128827,,,,,0.60911,,,2.264468,,9.883048,,,2.545064,,1.068839,,,,,0.07705,,,,,1.356093,1.48343,,0.519279,2.692308,,,,,0.575683,,6.527715,1.792344,,15.955377,,,,2.853741,,,,,,10.505457,,,1.566138,,,,2.429348,,,0.130355,,,,,,,4.18475,,,,,,,,,,30.645774,,,5.802809,0.381667,,,1.266072,64.595784,,2.141962,,,,,,6.341224,14.342736,,,,,,
1981-12-31,0.233932,4.402704,0.119142,,,,,0.593163,,,2.396719,,7.709354,,,1.276282,,1.346584,,,,,0.092629,,,,,1.304251,1.705422,,0.366148,2.692308,,,,,0.575683,,11.443043,2.513369,,20.595081,,,,4.96027,,,,,,12.413352,,,1.584926,,,,2.445969,,,0.15647,,,,,,,0.930878,,,,,,,,,,44.984812,,,2.794308,0.758042,,,2.833582,66.739748,,0.668656,,,,,,6.072723,12.963978,,,,,,
1982-12-31,0.288112,2.536336,0.102963,,,,,1.123155,,,2.183963,,5.233852,,,1.121245,,0.318209,,,,,0.092903,,,,0.260685,1.23866,1.89824,,0.245087,2.692308,,,,,0.575683,,16.415666,0.650847,,15.111142,,,,3.363455,,,,,0.369379,4.566287,,,0.423667,,,,3.100841,,,0.13948,,,,,,,0.781879,,,,,,,,,,15.039555,,,3.01945,0.616221,,,4.039888,66.739748,,1.516817,,,,,,6.357571,15.196647,,,,,,
1983-12-31,0.168976,5.265946,0.184581,,,,,1.508942,,,1.850029,,8.239888,,,0.51867,,0.160083,,,,,0.278513,,,,0.469342,1.376912,3.993011,,0.131305,2.692308,,,,,0.575683,,16.448893,0.87188,,21.415175,,,,2.510399,,,,,0.353873,9.88538,,,0.599326,,,,6.170743,,,1.470827,,,,,,,3.750081,,,,,,,,,,31.419055,,,3.550254,0.69631,,,9.390701,110.58517,,1.982878,,,,,,8.695718,21.934908,,,,,,
1984-12-31,0.216653,5.223316,0.167457,,,,,1.73082,,,3.936339,,7.094739,,,0.500636,,0.141165,,,,,0.270805,,,,0.726296,1.334536,3.697273,,0.101368,2.692308,,,,,0.575683,,2.031776,0.92172,,23.797843,,,,3.864836,,,,,0.453763,6.348692,,,0.996158,,,,7.698422,,,3.538402,,,,,,,1.052332,,,,,,,,,,19.456832,,,2.159027,1.329062,,,7.767669,119.269771,,2.23936,,,,,,10.462503,27.452381,,,,,,
